id,relevance
EN2652359,RELEVANT
EN2422390,NOT_RELEVANT
EN2718256,RELEVANT
EN2460270,RELEVANT
EN2845164,RELEVANT
EN2496868,RELEVANT
EN2432652,NOT_RELEVANT
EN2626141,NOT_RELEVANT
EN2406620,RELEVANT
EN2482782,NOT_RELEVANT
EN2646296,NOT_RELEVANT
EN2429035,NOT_RELEVANT
EN2404438,NOT_RELEVANT
EN2567881,RELEVANT
EN2447695,RELEVANT
EN2853639,NOT_RELEVANT
EN2712242,NOT_RELEVANT
EN2401372,NOT_RELEVANT
EN2435658,NOT_RELEVANT
EN2857617,NOT_RELEVANT
EN2710964,NOT_RELEVANT
EN2856619,NOT_RELEVANT
EN2913212,NOT_RELEVANT
EN2729367,RELEVANT
EN2495871,RELEVANT
EN2550552,NOT_RELEVANT
EN2625824,RELEVANT
EN2880095,NOT_RELEVANT
EN2427902,RELEVANT
EN2727038,NOT_RELEVANT
EN2581703,RELEVANT
EN2543415,NOT_RELEVANT
EN2735178,NOT_RELEVANT
EN2468666,RELEVANT
EN2506856,RELEVANT
EN2571998,NOT_RELEVANT
EN2520026,NOT_RELEVANT
EN2769296,RELEVANT
EN2631172,NOT_RELEVANT
EN2753163,NOT_RELEVANT
EN2535733,NOT_RELEVANT
EN2585421,NOT_RELEVANT
EN2445660,RELEVANT
EN2478136,RELEVANT
EN2634542,NOT_RELEVANT
EN2434557,RELEVANT
EN2671590,NOT_RELEVANT
EN2548230,RELEVANT
EN2748003,RELEVANT
EN2649172,NOT_RELEVANT
EN2889348,RELEVANT
EN2857112,RELEVANT
EN2701510,RELEVANT
EN2787108,NOT_RELEVANT
EN2603252,RELEVANT
EN2816726,NOT_RELEVANT
EN2582991,RELEVANT
EN2437943,NOT_RELEVANT
EN2850772,NOT_RELEVANT
EN2622319,RELEVANT
EN2520834,RELEVANT
EN2799307,RELEVANT
EN2856101,RELEVANT
EN2739371,NOT_RELEVANT
EN2780570,NOT_RELEVANT
EN2579686,RELEVANT
EN2621118,NOT_RELEVANT
EN2885045,NOT_RELEVANT
EN2505658,NOT_RELEVANT
EN2793076,NOT_RELEVANT
EN2766414,RELEVANT
EN2707725,RELEVANT
EN2716589,RELEVANT
EN2643859,NOT_RELEVANT
EN2503209,NOT_RELEVANT
EN2510198,NOT_RELEVANT
EN2654541,NOT_RELEVANT
EN2678225,NOT_RELEVANT
EN2586343,NOT_RELEVANT
EN2735845,RELEVANT
EN2697448,NOT_RELEVANT
EN2616561,NOT_RELEVANT
EN2505950,RELEVANT
EN2682909,RELEVANT
EN2641467,NOT_RELEVANT
EN2738145,RELEVANT
EN2657003,RELEVANT
EN2512261,RELEVANT
EN2694932,RELEVANT
EN2496079,RELEVANT
EN2489579,NOT_RELEVANT
EN2817101,NOT_RELEVANT
EN2478039,RELEVANT
EN2429062,NOT_RELEVANT
EN2716224,NOT_RELEVANT
EN2848206,NOT_RELEVANT
EN2581794,RELEVANT
EN2413748,NOT_RELEVANT
EN2623399,NOT_RELEVANT
EN2689081,RELEVANT
EN2607093,NOT_RELEVANT
EN2856414,RELEVANT
EN2758491,NOT_RELEVANT
EN2704910,NOT_RELEVANT
EN2507134,NOT_RELEVANT
EN2589584,NOT_RELEVANT
EN2596184,NOT_RELEVANT
EN2562104,NOT_RELEVANT
EN2542037,RELEVANT
EN2641404,NOT_RELEVANT
EN2742030,RELEVANT
EN2564599,RELEVANT
EN2405582,RELEVANT
EN2677659,RELEVANT
EN2772934,RELEVANT
EN2868287,RELEVANT
EN2816223,NOT_RELEVANT
EN2801117,RELEVANT
EN2658706,RELEVANT
EN2858437,NOT_RELEVANT
EN2652607,NOT_RELEVANT
EN2413531,NOT_RELEVANT
EN2854067,NOT_RELEVANT
EN2483622,NOT_RELEVANT
EN2802613,NOT_RELEVANT
EN2451894,RELEVANT
EN2506745,NOT_RELEVANT
EN2624348,NOT_RELEVANT
EN2620455,RELEVANT
EN2509131,NOT_RELEVANT
EN2525071,RELEVANT
EN2892156,NOT_RELEVANT
EN2422259,RELEVANT
EN2441028,RELEVANT
EN2487446,RELEVANT
EN2591170,NOT_RELEVANT
EN2801883,NOT_RELEVANT
EN2722949,NOT_RELEVANT
EN2591213,RELEVANT
EN2667463,RELEVANT
EN2475764,NOT_RELEVANT
EN2521252,NOT_RELEVANT
EN2535531,NOT_RELEVANT
EN2657411,NOT_RELEVANT
EN2864558,RELEVANT
EN2480576,NOT_RELEVANT
EN2611087,RELEVANT
EN2614446,RELEVANT
EN2444376,RELEVANT
EN2820196,RELEVANT
EN2468074,NOT_RELEVANT
EN2443377,RELEVANT
EN2558911,RELEVANT
EN2413410,NOT_RELEVANT
EN2535464,RELEVANT
EN2742896,RELEVANT
EN2904549,NOT_RELEVANT
EN2715279,NOT_RELEVANT
EN2541641,NOT_RELEVANT
EN2897918,RELEVANT
EN2659577,NOT_RELEVANT
EN2630316,NOT_RELEVANT
EN2831999,RELEVANT
EN2510593,NOT_RELEVANT
EN2595033,RELEVANT
EN2774267,RELEVANT
EN2433725,NOT_RELEVANT
EN2469866,NOT_RELEVANT
EN2826547,RELEVANT
EN2898675,RELEVANT
EN2533634,RELEVANT
EN2542587,NOT_RELEVANT
EN2502470,RELEVANT
EN2513442,RELEVANT
EN2511696,RELEVANT
EN2891104,NOT_RELEVANT
EN2655110,NOT_RELEVANT
EN2897959,RELEVANT
EN2401380,NOT_RELEVANT
EN2576337,NOT_RELEVANT
EN2828089,RELEVANT
EN2513183,NOT_RELEVANT
EN2668814,NOT_RELEVANT
EN2788490,RELEVANT
EN2667564,NOT_RELEVANT
EN2411503,NOT_RELEVANT
EN2709711,NOT_RELEVANT
EN2689440,RELEVANT
EN2571333,RELEVANT
EN2423704,RELEVANT
EN2862933,RELEVANT
EN2797942,RELEVANT
EN2796432,RELEVANT
